model,lr,hidden_size,batch_size,pooling_style,epoch,acc,execution_time
rnn,0.001,768,128,avg,7,0.825724758,1.591744661
rnn,0.001,768,128,avg,8,0.826724425,1.604709864
rnn,0.001,768,128,avg,9,0.820393202,1.59373951
rnn,0.001,768,128,avg,10,0.822059314,1.639616489
rnn,0.001,768,128,avg,11,0.81706098,1.636624098
rnn,0.001,768,128,avg,12,0.813062313,1.625656605
rnn,0.001,768,128,avg,13,0.816394535,1.600720406
rnn,0.001,768,128,avg,14,0.811729424,1.703445673
rnn,0.001,768,128,avg,15,0.810063312,1.597728252
rnn,0.001,768,128,max,1,0.799066978,1.985646963
rnn,0.001,768,128,max,2,0.825391536,1.950784922
rnn,0.001,768,128,max,3,0.837387537,1.927845716
rnn,0.001,768,128,max,4,0.84371876,1.941808701
rnn,0.001,768,128,max,5,0.846051316,1.931834221
rnn,0.001,768,128,max,6,0.828723759,2.011621475
rnn,0.001,768,128,max,7,0.826057981,2.007632017
rnn,0.001,768,128,max,8,0.828057314,1.969733715
rnn,0.001,768,128,max,9,0.819726758,1.952778578
rnn,0.001,768,128,max,10,0.837054315,1.980704308
rnn,0.001,768,128,max,11,0.783072309,2.033562899
rnn,0.001,768,128,max,12,0.835054982,2.092405558
rnn,0.001,768,128,max,13,0.827724092,1.954773188
rnn,0.001,768,128,max,14,0.819393535,1.95377636
rnn,0.001,768,128,max,15,0.811396201,1.960757494
rnn,0.0001,128,64,avg,1,0.672442519,0.722069979
rnn,0.0001,128,64,avg,2,0.675108297,0.589424133
rnn,0.0001,128,64,avg,3,0.683772076,0.575461388
rnn,0.0001,128,64,avg,4,0.697434189,0.576459169
rnn,0.0001,128,64,avg,5,0.720759747,0.568479538
rnn,0.0001,128,64,avg,6,0.745418194,0.557509184
rnn,0.0001,128,64,avg,7,0.765078307,0.558506489
rnn,0.0001,128,64,avg,8,0.782739087,0.560501575
rnn,0.0001,128,64,avg,9,0.792735755,0.558506966
rnn,0.0001,128,64,avg,10,0.803065645,0.561498404
rnn,0.0001,128,64,avg,11,0.810729757,0.562496662
rnn,0.0001,128,64,avg,12,0.81706098,0.639290094
rnn,0.0001,128,64,avg,13,0.820393202,0.567482948
rnn,0.0001,128,64,avg,14,0.824391869,0.562495947
rnn,0.0001,128,64,avg,15,0.825391536,0.570474625
rnn,0.0001,128,64,max,1,0.649450183,0.631268978
rnn,0.0001,128,64,max,2,0.655448184,0.632309914
rnn,0.0001,128,64,max,3,0.661446185,0.640288353
rnn,0.0001,128,64,max,4,0.675108297,0.631312609
rnn,0.0001,128,64,max,5,0.68443852,0.647268772
rnn,0.0001,128,64,max,6,0.704765078,0.641285896
rnn,0.0001,128,64,max,7,0.714095302,0.642282486
rnn,0.0001,128,64,max,8,0.736421193,0.635301352
rnn,0.0001,128,64,max,9,0.745751416,0.634305
