acc,model,lr,hidden_size,batch_size,pooling_style
0.8583046606193306,'lstm',"0.001,","256,","64,",'avg'
0.8583046606193306,'gru',"0.001,","256,","64,",'max'
0.8586174538629966,'stack_gated_cnn',"0.001,","256,","64,",'max'
0.8586174538629966,'stack_gated_cnn',"0.001,","256,","64,",'avg'
0.8586174538629966,'gated_cnn',"0.001,","128,","64,",'avg'
0.8586174538629966,'rnn',"0.001,","256,","64,",'max'
0.8586174538629966,'bert',"0.0001,","256,","64,",'max'
0.8592430403503284,'stack_gated_cnn',"0.0001,","256,","64,",'avg'
0.8595558335939943,'gru',"0.001,","128,","64,",'avg'
0.8595558335939943,'gru',"0.0001,","256,","128,",'avg'
0.8598686268376603,'gated_cnn',"0.001,","128,","128,",'max'
0.8598686268376603,'lstm',"0.001,","256,","128,",'max'
0.8598686268376603,'bert',"0.0001,","256,","128,",'max'
0.8598686268376603,'gated_cnn',"0.0001,","128,","64,",'avg'
0.8598686268376603,'gru',"0.0001,","256,","64,",'max'
0.8601814200813263,'fast_text',"0.001,","128,","64,",'max'
0.8604942133249922,'bert',"0.0001,","128,","64,",'max'
0.86143259305599,'fast_text',"0.001,","128,","64,",'avg'
0.86143259305599,'lstm',"0.0001,","128,","128,",'avg'
0.8626837660306538,'gated_cnn',"0.001,","256,","128,",'max'
0.8629965592743197,'lstm',"0.0001,","128,","128,",'max'
0.8636221457616515,'rnn',"0.0001,","256,","64,",'max'
0.8636221457616515,'bert',"0.0001,","128,","128,",'max'
0.8636221457616515,'rnn',"0.0001,","128,","64,",'avg'
0.8639349390053175,'fast_text',"0.001,","256,","64,",'max'
0.8642477322489834,'gated_cnn',"0.001,","128,","128,",'avg'
0.8645605254926494,'lstm',"0.001,","128,","128,",'avg'
0.8648733187363153,'stack_gated_cnn',"0.001,","256,","128,",'max'
0.8651861119799812,'stack_gated_cnn',"0.0001,","128,","64,",'max'
0.8651861119799812,'gated_cnn',"0.0001,","256,","64,",'avg'
0.8654989052236471,'fast_text',"0.001,","256,","128,",'max'
0.8658116984673131,'gru',"0.0001,","128,","128,",'avg'
0.866124491710979,'gru',"0.001,","256,","128,",'avg'
0.866437284954645,'gru',"0.0001,","128,","64,",'avg'
0.866437284954645,'lstm',"0.0001,","128,","64,",'max'
0.8670628714419768,'lstm',"0.0001,","256,","128,",'avg'
0.8670628714419768,'gru',"0.0001,","256,","128,",'max'
0.8680012511729747,'gru',"0.0001,","128,","64,",'max'
0.8680012511729747,'rcnn',"0.0001,","128,","64,",'max'
0.8680012511729747,'gru',"0.0001,","128,","128,",'max'
0.8683140444166406,'rnn',"0.0001,","128,","128,",'avg'
0.8683140444166406,'rnn',"0.0001,","128,","64,",'max'
0.8683140444166406,'rcnn',"0.0001,","128,","128,",'max'
0.8689396309039725,'stack_gated_cnn',"0.0001,","128,","128,",'avg'
0.8692524241476384,'cnn',"0.001,","128,","64,",'max'
0.8701908038786362,'rcnn',"0.0001,","256,","64,",'max'
0.8708163903659681,'gated_cnn',"0.0001,","256,","128,",'avg'
0.8708163903659681,'cnn',"0.0001,","256,","64,",'max'
0.8717547700969659,'cnn',"0.0001,","128,","128,",'max'
0.8723803565842978,'gated_cnn',"0.0001,","128,","128,",'max'
0.8730059430716296,'rnn',"0.0001,","256,","128,",'max'
0.8739443228026275,'stack_gated_cnn',"0.0001,","256,","64,",'max'
0.8742571160462934,'lstm',"0.0001,","256,","128,",'max'
0.8758210822646231,'gated_cnn',"0.0001,","128,","64,",'max'
0.876133875508289,'stack_gated_cnn',"0.0001,","256,","128,",'max'
0.876446668751955,'cnn',"0.0001,","256,","128,",'max'
0.8780106349702846,'rcnn',"0.0001,","256,","128,",'max'
0.8780106349702846,'gated_cnn',"0.0001,","256,","128,",'max'
0.8783234282139506,'gated_cnn',"0.0001,","256,","64,",'max'
0.8795746011886143,'cnn',"0.0001,","128,","64,",'max'
0.8820769471379418,'stack_gated_cnn',"0.0001,","128,","128,",'max'
