类别序号,词表文件,模型类型,最大长度,隐藏层大小,卷积核大小,层数,训练轮数,批次大小,池化方式,优化器,学习率,运行时间,最后一轮准确率
第1种,chars.txt,lstm,50,128,3,2,1,64,avg,adam,0.001,8.980032920837402,0.8786488740617181
第2种,chars.txt,lstm,50,128,3,2,1,64,max,adam,0.001,8.878545999526978,0.8849040867389492
