类别序号,词表文件,模型类型,最大长度,隐藏层大小,卷积核大小,层数,训练轮数,批次大小,池化方式,优化器,学习率,运行时间,最后一轮准确率
第62种,chars.txt,lstm,30,256,3,2,10,256,avg,sgd,0.001,113.27076196670532,"(0.6663051639275882, None)"
类别序号,词表文件,模型类型,最大长度,隐藏层大小,卷积核大小,层数,训练轮数,批次大小,池化方式,优化器,学习率,运行时间,最后一轮准确率
第1种,chars.txt,lstm,30,128,3,2,10,64,avg,adam,0.001,52.90839767456055,"(0.976474514056895, None)"
类别序号,词表文件,模型类型,最大长度,隐藏层大小,卷积核大小,层数,训练轮数,批次大小,池化方式,优化器,学习率,运行时间,最后一轮准确率
第2种,chars.txt,lstm,30,128,3,2,10,64,avg,sgd,0.001,44.93419814109802,"(0.6663051639275882, None)"
类别序号,词表文件,模型类型,最大长度,隐藏层大小,卷积核大小,层数,训练轮数,批次大小,池化方式,优化器,学习率,运行时间,最后一轮准确率
第3种,chars.txt,lstm,30,128,3,2,20,64,avg,adam,0.001,101.2703812122345,"(0.9964127805122216, None)"
