model,lr,hidden_size(or not use),batch_size,pooling_style,acc
fast_text,0.001,128,64,avg,0.8874061718098415
fast_text,0.001,128,128,avg,0.8711426188490409
fast_text,0.0001,128,64,avg,0.6693077564637198
fast_text,0.0001,128,128,avg,0.6693077564637198
lstm,0.001,128,64,avg,0.8807339449541285
lstm,0.001,128,128,avg,0.73185988323603
