model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,lastAcc
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert,30,128,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7805555555555556
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert,30,128,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7888888888888889
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7888888888888889
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7833333333333333
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6666666666666666
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6861111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.65
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6833333333333333
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6805555555555556
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6611111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_cnn,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6944444444444444
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,128,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6638888888888889
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,128,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6861111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6805555555555556
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,128,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6944444444444444
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,128,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6611111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6694444444444444
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert_mid_layer,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6722222222222223
