Model,Learning_rate,Hidden_size,Batch_size,Train_Avg_Positive_sample,Train_Avg_Negative_sample,Valid_Avg_Positive_sample,Valid_Avg_Negative_sample,Train_Avg_length,Valid_Avg_length,Last_Accuracy,time(预测100条耗时)
bert,0.001,128,64,3967.3333333333335,7919.666666666667,258.46666666666664,541.5333333333333,25.0,24.666666666666668,0.96,0.29302752812703453
bert,0.0001,128,64,3966.9333333333334,7920.066666666667,266.1333333333333,533.8666666666667,25.0,23.933333333333334,1.0,0.256935707728068
lstm,0.001,128,64,3966.866666666667,7920.133333333333,260.8,539.2,25.0,25.266666666666666,1.0,0.04005411465962728
lstm,0.0001,128,64,3968.0,7919.0,255.2,544.8,25.0,25.0,0.95,0.0405029296875
gru,0.001,128,64,3969.4,7917.6,239.13333333333333,560.8666666666667,25.0,24.4,0.99,0.03070519765218099
gru,0.0001,128,64,3967.6,7919.4,253.26666666666668,546.7333333333333,25.0,24.266666666666666,0.94,0.03051619529724121
cnn,0.001,128,64,3965.2,7921.8,272.8666666666667,527.1333333333333,25.0,23.933333333333334,0.88,0.004171832402547201
cnn,0.0001,128,64,3964.4,7922.6,291.93333333333334,508.06666666666666,25.0,24.866666666666667,0.87,0.004332590103149414
